graph,order,size,time,iterations,error,technique,min_compute
"min-1DeadEnd","5","7","0.099","4","0","pagerankMonolithicCudaL1Norm","0"
"min-1DeadEnd","5","7","2.032","18","0.0000010133","pagerankComponentwiseCudaL1Norm","1"
"min-1DeadEnd","5","7","0.096","4","0","pagerankComponentwiseCudaL1Norm","5"
"min-1DeadEnd","5","7","0.088","4","0","pagerankComponentwiseCudaL1Norm","10"
"min-1DeadEnd","5","7","0.094","4","0","pagerankComponentwiseCudaL1Norm","50"
"min-1DeadEnd","5","7","0.092","4","0","pagerankComponentwiseCudaL1Norm","100"
"min-1DeadEnd","5","7","0.097","4","0","pagerankComponentwiseCudaL1Norm","500"
"min-1DeadEnd","5","7","0.092","4","0","pagerankComponentwiseCudaL1Norm","1000"
"min-1DeadEnd","5","7","0.101","4","0","pagerankComponentwiseCudaL1Norm","5000"
"min-1DeadEnd","5","7","0.091","4","0","pagerankComponentwiseCudaL1Norm","10000"
"min-1DeadEnd","5","7","0.099","4","0","pagerankComponentwiseCudaL1Norm","50000"
"min-1DeadEnd","5","7","0.09","4","0","pagerankComponentwiseCudaL1Norm","100000"
"min-1DeadEnd","5","7","0.094","4","0","pagerankComponentwiseCudaL1Norm","500000"
"min-1DeadEnd","5","7","0.088","4","0","pagerankComponentwiseCudaL1Norm","1000000"
"min-1DeadEnd","5","7","0.094","4","0","pagerankComponentwiseCudaL1Norm","5000000"
"min-1DeadEnd","5","7","0.093","4","0","pagerankComponentwiseCudaL1Norm","10000000"
"min-1DeadEnd","5","7","0.087","4","0","pagerankComponentwiseCudaL1Norm","50000000"
"min-1DeadEnd","5","7","0.089","4","0","pagerankMonolithicCudaL2Norm","0"
"min-1DeadEnd","5","7","2.093","18","0.0000010133","pagerankComponentwiseCudaL2Norm","1"
"min-1DeadEnd","5","7","0.09","4","0","pagerankComponentwiseCudaL2Norm","5"
"min-1DeadEnd","5","7","0.093","4","0","pagerankComponentwiseCudaL2Norm","10"
"min-1DeadEnd","5","7","0.099","4","0","pagerankComponentwiseCudaL2Norm","50"
"min-1DeadEnd","5","7","0.096","4","0","pagerankComponentwiseCudaL2Norm","100"
